"Date","Price","Open","High","Low","Vol.","Change %"
"11/27/2018","75.769","75.990","76.022","75.253","","-0.29%"
"11/26/2018","75.990","75.034","76.566","75.034","","1.27%"
"11/23/2018","75.034","74.850","75.315","74.612","","0.25%"
"11/22/2018","74.850","74.760","74.988","74.625","","0.12%"
"11/21/2018","74.760","75.242","75.300","74.696","","-0.64%"
"11/20/2018","75.242","75.092","75.355","74.935","","0.20%"
"11/19/2018","75.092","75.350","75.595","75.015","","-0.34%"
"11/16/2018","75.350","74.683","75.505","74.650","","0.89%"
"11/15/2018","74.683","75.948","75.960","74.671","","-1.67%"
"11/14/2018","75.948","76.858","77.021","75.807","","-1.19%"
"11/13/2018","76.858","76.225","76.871","75.965","","0.83%"
"11/12/2018","76.225","77.170","77.170","75.904","","-1.22%"
"11/09/2018","77.170","75.975","77.239","75.731","","1.57%"
"11/08/2018","75.975","75.878","76.174","75.481","","0.13%"
"11/07/2018","75.878","75.500","75.954","75.500","","0.50%"
"11/06/2018","75.500","75.441","75.535","75.128","","0.08%"
"11/02/2018","75.441","74.963","75.492","74.944","","0.64%"
"11/01/2018","74.963","74.585","75.110","74.520","","0.51%"
"10/31/2018","74.585","74.387","74.671","74.321","","0.27%"
"10/30/2018","74.387","74.947","74.947","74.350","","-0.75%"
"10/29/2018","74.947","74.919","75.170","74.523","","0.04%"
"10/26/2018","74.919","74.545","75.085","74.545","","0.50%"
"10/25/2018","74.545","74.823","75.149","74.393","","-0.37%"
"10/24/2018","74.823","75.150","75.184","74.084","","-0.44%"
"10/23/2018","75.150","74.787","75.442","74.787","","0.48%"
"10/22/2018","74.787","75.444","75.585","74.571","","-0.87%"
"10/19/2018","75.444","75.372","75.475","75.087","","0.10%"
"10/18/2018","75.372","75.285","75.759","75.285","","0.12%"
"10/17/2018","75.285","75.615","75.874","75.285","","-0.44%"
"10/16/2018","75.615","76.029","76.029","75.588","","-0.54%"
"10/15/2018","76.029","76.426","76.426","75.788","","-0.52%"
"10/12/2018","76.426","76.810","76.810","76.238","","-0.50%"
"10/11/2018","76.810","77.057","77.236","76.410","","-0.32%"
"10/10/2018","77.057","76.154","77.080","75.904","","1.18%"
"10/09/2018","76.154","76.503","76.609","76.024","","-0.46%"
"10/08/2018","76.503","76.722","77.145","76.408","","-0.29%"
"10/05/2018","76.722","77.154","77.154","76.470","","-0.56%"
"10/04/2018","77.154","75.671","77.162","75.630","","1.96%"
"10/03/2018","75.671","75.620","75.893","75.593","","0.07%"
"10/02/2018","75.620","75.202","75.750","75.098","","0.56%"
"10/01/2018","75.202","76.087","76.231","75.079","","-1.16%"
"09/28/2018","76.087","76.376","76.405","75.950","","-0.38%"
"09/27/2018","76.376","77.260","77.260","76.090","","-1.14%"
"09/26/2018","77.260","77.555","77.688","77.250","","-0.38%"
"09/25/2018","77.555","77.368","77.569","77.186","","0.24%"
"09/24/2018","77.368","78.065","78.065","77.325","","-0.89%"
"09/21/2018","78.065","78.044","78.550","77.944","","0.03%"
"09/20/2018","78.044","77.995","78.252","77.525","","0.06%"
"09/19/2018","77.995","78.600","78.600","77.778","","-0.77%"
"09/18/2018","78.600","79.497","79.497","78.582","","-1.13%"
"09/17/2018","79.497","79.141","79.620","79.100","","0.45%"
"09/14/2018","79.141","79.775","80.184","78.969","","-0.79%"
"09/13/2018","79.775","80.262","80.371","79.141","","-0.61%"
"09/12/2018","80.262","80.584","80.802","79.910","","-0.40%"
"09/11/2018","80.584","81.830","81.830","80.574","","-1.52%"
"09/10/2018","81.830","80.800","81.890","80.557","","1.27%"
"09/07/2018","80.800","80.501","80.854","80.131","","0.37%"
"09/06/2018","80.501","79.388","80.801","79.299","","1.40%"
"09/05/2018","79.388","78.881","79.514","78.881","","0.64%"
"09/04/2018","78.881","79.144","79.150","78.628","","-0.33%"
"09/03/2018","79.144","78.390","79.210","78.372","","0.96%"
"08/31/2018","78.390","79.628","79.628","78.170","","-1.55%"
"08/30/2018","79.628","79.577","79.751","79.238","","0.06%"
"08/29/2018","79.577","79.346","79.933","79.031","","0.29%"
"08/28/2018","79.346","78.847","79.582","78.606","","0.63%"
"08/27/2018","78.847","78.015","79.004","78.015","","1.07%"
"08/24/2018","78.015","78.675","78.675","77.963","","-0.84%"
"08/23/2018","78.675","78.900","79.740","78.085","","-0.29%"
"08/22/2018","78.900","77.850","79.345","77.850","","1.35%"
"08/21/2018","77.850","77.062","77.921","77.018","","1.02%"
"08/20/2018","77.062","76.658","77.085","76.438","","0.53%"
"08/17/2018","76.658","75.975","77.103","75.975","","0.90%"
"08/16/2018","75.975","76.350","76.350","75.844","","-0.49%"
"08/15/2018","76.350","75.274","76.730","75.140","","1.43%"
"08/14/2018","75.274","77.375","77.375","75.250","","-2.72%"
"08/13/2018","77.375","77.228","78.103","77.010","","0.19%"
"08/10/2018","77.228","76.813","77.405","76.343","","0.54%"
"08/09/2018","76.813","76.125","77.274","76.125","","0.90%"
"08/08/2018","76.125","73.650","76.175","73.650","","3.36%"
"08/07/2018","73.650","73.629","73.677","73.490","","0.03%"
"08/06/2018","73.629","73.284","73.711","73.268","","0.47%"
"08/03/2018","73.284","73.413","73.525","73.152","","-0.18%"
"08/02/2018","73.413","73.495","73.814","73.306","","-0.11%"
"08/01/2018","73.495","73.145","73.582","73.059","","0.48%"
"07/31/2018","73.145","72.854","73.280","72.832","","0.40%"
"07/30/2018","72.854","73.172","73.276","72.768","","-0.43%"
"07/27/2018","73.172","73.290","73.391","73.036","","-0.16%"
"07/26/2018","73.290","73.691","73.899","73.200","","-0.54%"
"07/25/2018","73.691","73.975","74.000","73.521","","-0.38%"
"07/24/2018","73.975","73.720","74.167","73.277","","0.35%"
"07/23/2018","73.720","74.400","74.400","73.670","","-0.91%"
"07/20/2018","74.400","74.142","74.536","73.814","","0.35%"
"07/19/2018","74.142","73.330","74.200","73.330","","1.11%"
"07/18/2018","73.330","72.969","73.624","72.957","","0.49%"
"07/17/2018","72.969","72.981","73.372","72.805","","-0.02%"
"07/16/2018","72.981","73.074","73.125","72.638","","-0.13%"
"07/13/2018","73.074","72.650","73.230","72.312","","0.58%"
"07/12/2018","72.650","72.780","72.780","72.264","","-0.18%"
"07/11/2018","72.780","72.568","72.958","72.366","","0.29%"
"07/10/2018","72.568","73.451","73.451","72.420","","-1.20%"
"07/09/2018","73.451","73.961","74.005","73.305","","-0.69%"
"07/06/2018","73.961","73.787","74.200","73.787","","0.24%"
"07/05/2018","73.787","73.662","74.051","73.662","","0.17%"
"07/04/2018","73.662","73.608","73.857","73.540","","0.07%"
"07/03/2018","73.608","73.830","73.830","73.517","","-0.30%"
"07/02/2018","73.830","73.342","73.925","73.327","","0.67%"
"06/29/2018","73.342","72.607","73.390","72.607","","1.01%"
"06/28/2018","72.607","73.107","73.173","72.607","","-0.68%"
"06/27/2018","73.107","73.423","73.682","72.919","","-0.43%"
"06/26/2018","73.423","73.448","73.828","73.260","","-0.03%"
"06/25/2018","73.448","73.322","73.639","73.180","","0.17%"
"06/22/2018","73.322","73.927","73.927","73.204","","-0.82%"
"06/21/2018","73.927","73.713","74.040","73.496","","0.29%"
"06/20/2018","73.713","74.015","74.027","73.411","","-0.41%"
"06/19/2018","74.015","73.777","74.281","73.715","","0.32%"
"06/18/2018","73.777","73.326","73.987","73.202","","0.62%"
"06/15/2018","73.326","72.500","73.537","72.274","","1.14%"
"06/14/2018","72.500","73.679","73.723","72.183","","-1.60%"
"06/13/2018","73.679","74.041","74.286","73.350","","-0.49%"
"06/11/2018","74.041","73.662","74.120","73.330","","0.51%"
"06/09/2018","73.662","73.333","73.740","73.327","","0.45%"
"06/08/2018","73.333","73.636","73.932","73.253","","-0.41%"
"06/07/2018","73.636","72.736","73.935","72.732","","1.24%"
"06/06/2018","72.736","72.800","73.132","72.720","","-0.09%"
"06/05/2018","72.800","72.610","72.872","72.440","","0.26%"
"06/04/2018","72.610","72.573","72.724","72.310","","0.05%"
"06/01/2018","72.573","72.978","72.978","72.345","","-0.55%"
"05/31/2018","72.978","72.439","73.020","72.370","","0.74%"
"05/30/2018","72.439","72.419","72.649","72.251","","0.03%"
"05/29/2018","72.419","72.455","72.603","72.122","","-0.05%"
"05/28/2018","72.455","72.586","72.974","72.308","","-0.18%"
"05/25/2018","72.586","72.230","72.741","72.007","","0.49%"
"05/24/2018","72.230","71.745","72.360","71.745","","0.68%"
"05/23/2018","71.745","72.068","72.338","71.675","","-0.45%"
"05/22/2018","72.068","72.655","72.655","71.834","","-0.81%"
"05/21/2018","72.655","73.379","73.475","72.391","","-1.00%"
"05/18/2018","73.392","73.344","73.668","73.068","","0.07%"
"05/17/2018","73.344","72.885","73.375","72.813","","0.63%"
